shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SH1,50.583300,8.678400,1
SH1,50.586300,8.676400,2
SH1,50.588300,8.680400,3
SH1,50.581300,8.682400,4
SH1,50.578300,8.675400,5
SH1,50.590300,8.674400,6
SH2,50.586300,8.676400,1
SH2,50.588300,8.680400,2
SH2,50.581300,8.682400,3
SH2,50.578300,8.675400,4
SH2,50.590300,8.674400,5
SH2,50.579300,8.684400,6
SH3,50.588300,8.680400,1
SH3,50.581300,8.682400,2
SH3,50.578300,8.675400,3
SH3,50.590300,8.674400,4
SH3,50.579300,8.684400,5
SH3,50.585300,8.684400,6
SH5,50.581300,8.682400,1
SH5,50.578300,8.675400,2
SH5,50.590300,8.674400,3
SH5,50.579300,8.684400,4
SH5,50.585300,8.684400,5
SH5,50.577300,8.680400,6
SH6,50.578300,8.675400,1
SH6,50.590300,8.674400,2
SH6,50.579300,8.684400,3
SH6,50.585300,8.684400,4
SH6,50.577300,8.680400,5
SH6,50.587300,8.672400,6
SH7,50.590300,8.674400,1
SH7,50.579300,8.684400,2
SH7,50.585300,8.684400,3
SH7,50.577300,8.680400,4
SH7,50.587300,8.672400,5
SH7,50.575300,8.676400,6
SH9,50.579300,8.684400,1
SH9,50.585300,8.684400,2
SH9,50.577300,8.680400,3
SH9,50.587300,8.672400,4
SH9,50.575300,8.676400,5
SH9,50.592300,8.679400,6
SH10,50.585300,8.684400,1
SH10,50.577300,8.680400,2
SH10,50.587300,8.672400,3
SH10,50.575300,8.676400,4
SH10,50.592300,8.679400,5
SH10,50.583300,8.678400,6
SH12,50.577300,8.680400,1
SH12,50.587300,8.672400,2
SH12,50.575300,8.676400,3
SH12,50.592300,8.679400,4
SH12,50.583300,8.678400,5
SH12,50.586300,8.676400,6
SH13,50.587300,8.672400,1
SH13,50.575300,8.676400,2
SH13,50.592300,8.679400,3
SH13,50.583300,8.678400,4
SH13,50.586300,8.676400,5
SH13,50.588300,8.680400,6
SH14,50.575300,8.676400,1
SH14,50.592300,8.679400,2
SH14,50.583300,8.678400,3
SH14,50.586300,8.676400,4
SH14,50.588300,8.680400,5
SH14,50.581300,8.682400,6
SH15,50.592300,8.679400,1
SH15,50.583300,8.678400,2
SH15,50.586300,8.676400,3
SH15,50.588300,8.680400,4
SH15,50.581300,8.682400,5
SH15,50.578300,8.675400,6
SH17,50.583300,8.678400,1
SH17,50.586300,8.676400,2
SH17,50.588300,8.680400,3
SH17,50.581300,8.682400,4
SH17,50.578300,8.675400,5
SH17,50.590300,8.674400,6
SH18,50.586300,8.676400,1
SH18,50.588300,8.680400,2
SH18,50.581300,8.682400,3
SH18,50.578300,8.675400,4
SH18,50.590300,8.674400,5
SH18,50.579300,8.684400,6
SH801,50.588300,8.680400,1
SH801,50.581300,8.682400,2
SH801,50.578300,8.675400,3
SH801,50.590300,8.674400,4
SH801,50.579300,8.684400,5
SH801,50.585300,8.684400,6
SH802,50.581300,8.682400,1
SH802,50.578300,8.675400,2
SH802,50.590300,8.674400,3
SH802,50.579300,8.684400,4
SH802,50.585300,8.684400,5
SH802,50.577300,8.680400,6
