trip_id,arrival_time,departure_time,stop_id,stop_sequence
T1_1,06:00:00,06:00:20,S1,1
T1_1,06:03:00,06:03:20,S2,2
T1_1,06:06:00,06:06:20,S3,3
T1_1,06:09:00,06:09:20,S4,4
T1_1,06:12:00,06:12:20,S5,5
T1_1,06:15:00,06:15:20,S6,6
T2_1,06:05:00,06:05:20,S2,1
T2_1,06:08:00,06:08:20,S3,2
T2_1,06:11:00,06:11:20,S4,3
T2_1,06:14:00,06:14:20,S5,4
T2_1,06:17:00,06:17:20,S6,5
T2_1,06:20:00,06:20:20,S7,6
T3_1,06:10:00,06:10:20,S3,1
T3_1,06:13:00,06:13:20,S4,2
T3_1,06:16:00,06:16:20,S5,3
T3_1,06:19:00,06:19:20,S6,4
T3_1,06:22:00,06:22:20,S7,5
T3_1,06:25:00,06:25:20,S8,6
T5_1,06:15:00,06:15:20,S4,1
T5_1,06:18:00,06:18:20,S5,2
T5_1,06:21:00,06:21:20,S6,3
T5_1,06:24:00,06:24:20,S7,4
T5_1,06:27:00,06:27:20,S8,5
T5_1,06:30:00,06:30:20,S9,6
T6_1,06:20:00,06:20:20,S5,1
T6_1,06:23:00,06:23:20,S6,2
T6_1,06:26:00,06:26:20,S7,3
T6_1,06:29:00,06:29:20,S8,4
T6_1,06:32:00,06:32:20,S9,5
T6_1,06:35:00,06:35:20,S10,6
T7_1,06:25:00,06:25:20,S6,1
T7_1,06:28:00,06:28:20,S7,2
T7_1,06:31:00,06:31:20,S8,3
T7_1,06:34:00,06:34:20,S9,4
T7_1,06:37:00,06:37:20,S10,5
T7_1,06:40:00,06:40:20,S11,6
T9_1,06:30:00,06:30:20,S7,1
T9_1,06:33:00,06:33:20,S8,2
T9_1,06:36:00,06:36:20,S9,3
T9_1,06:39:00,06:39:20,S10,4
T9_1,06:42:00,06:42:20,S11,5
T9_1,06:45:00,06:45:20,S12,6
T10_1,06:35:00,06:35:20,S8,1
T10_1,06:38:00,06:38:20,S9,2
T10_1,06:41:00,06:41:20,S10,3
T10_1,06:44:00,06:44:20,S11,4
T10_1,06:47:00,06:47:20,S12,5
T10_1,06:50:00,06:50:20,S1,6
T12_1,06:40:00,06:40:20,S9,1
T12_1,06:43:00,06:43:20,S10,2
T12_1,06:46:00,06:46:20,S11,3
T12_1,06:49:00,06:49:20,S12,4
T12_1,06:52:00,06:52:20,S1,5
T12_1,06:55:00,06:55:20,S2,6
T13_1,06:45:00,06:45:20,S10,1
T13_1,06:48:00,06:48:20,S11,2
T13_1,06:51:00,06:51:20,S12,3
T13_1,06:54:00,06:54:20,S1,4
T13_1,06:57:00,06:57:20,S2,5
T13_1,07:00:00,07:00:20,S3,6
T14_1,06:50:00,06:50:20,S11,1
T14_1,06:53:00,06:53:20,S12,2
T14_1,06:56:00,06:56:20,S1,3
T14_1,06:59:00,06:59:20,S2,4
T14_1,07:02:00,07:02:20,S3,5
T14_1,07:05:00,07:05:20,S4,6
T15_1,06:55:00,06:55:20,S12,1
T15_1,06:58:00,06:58:20,S1,2
T15_1,07:01:00,07:01:20,S2,3
T15_1,07:04:00,07:04:20,S3,4
T15_1,07:07:00,07:07:20,S4,5
T15_1,07:10:00,07:10:20,S5,6
T17_1,07:00:00,07:00:20,S1,1
T17_1,07:03:00,07:03:20,S2,2
T17_1,07:06:00,07:06:20,S3,3
T17_1,07:09:00,07:09:20,S4,4
T17_1,07:12:00,07:12:20,S5,5
T17_1,07:15:00,07:15:20,S6,6
T18_1,07:05:00,07:05:20,S2,1
T18_1,07:08:00,07:08:20,S3,2
T18_1,07:11:00,07:11:20,S4,3
T18_1,07:14:00,07:14:20,S5,4
T18_1,07:17:00,07:17:20,S6,5
T18_1,07:20:00,07:20:20,S7,6
T801_1,07:10:00,07:10:20,S3,1
T801_1,07:13:00,07:13:20,S4,2
T801_1,07:16:00,07:16:20,S5,3
T801_1,07:19:00,07:19:20,S6,4
T801_1,07:22:00,07:22:20,S7,5
T801_1,07:25:00,07:25:20,S8,6
T802_1,07:15:00,07:15:20,S4,1
T802_1,07:18:00,07:18:20,S5,2
T802_1,07:21:00,07:21:20,S6,3
T802_1,07:24:00,07:24:20,S7,4
T802_1,07:27:00,07:27:20,S8,5
T802_1,07:30:00,07:30:20,S9,6
